label,Family,Superfamily,Order
Tupaia_belangeri,Tupaiidae,,Scandentia
Galeopterus_variegatus,Cynocephalidae,,Dermoptera
Aotus_azarae,Cebidae,Ceboidea,Primates
Aotus_trivirgatus,Cebidae,Ceboidea,Primates
Aotus_griseimembra,Cebidae,Ceboidea,Primates
Aotus_vociferans,Cebidae,Ceboidea,Primates
Callimico_goeldii,Cebidae,Ceboidea,Primates
Cebuella_pygmaea,Cebidae,Ceboidea,Primates
Cebuella_niveiventris,Cebidae,Ceboidea,Primates
Callibella_humilis,Cebidae,Ceboidea,Primates
Mico_humeralifer,Cebidae,Ceboidea,Primates
Mico_spnv,Cebidae,Ceboidea,Primates
Mico_argentatus,Cebidae,Ceboidea,Primates
Callithrix_geoffroyi,Cebidae,Ceboidea,Primates
Callithrix_kuhlii,Cebidae,Ceboidea,Primates
Callithrix_jacchus,Cebidae,Ceboidea,Primates
Leontopithecus_rosalia,Cebidae,Ceboidea,Primates
Leontopithecus_chrysomelas,Cebidae,Ceboidea,Primates
Saguinus_oedipus,Cebidae,Ceboidea,Primates
Saguinus_geoffroyi,Cebidae,Ceboidea,Primates
Saguinus_bicolor,Cebidae,Ceboidea,Primates
Saguinus_midas,Cebidae,Ceboidea,Primates
Saguinus_imperator,Cebidae,Ceboidea,Primates
Saguinus_inustus,Cebidae,Ceboidea,Primates
Saguinus_mystax,Cebidae,Ceboidea,Primates
Saguinus_labiatus,Cebidae,Ceboidea,Primates
Leontocebus_nigricollis,Cebidae,Ceboidea,Primates
Leontocebus_illigeri,Cebidae,Ceboidea,Primates
Leontocebus_fuscicolis,Cebidae,Ceboidea,Primates
Cebus_olivaceus,Cebidae,Ceboidea,Primates
Cebus_unicolor,Cebidae,Ceboidea,Primates
Cebus_albifrons,Cebidae,Ceboidea,Primates
Sapajus_macrocephalus,Cebidae,Ceboidea,Primates
Sapajus_apella,Cebidae,Ceboidea,Primates
Saimiri_oerstedii,Cebidae,Ceboidea,Primates
Saimiri_ustus,Cebidae,Ceboidea,Primates
Saimiri_sciureus,Cebidae,Ceboidea,Primates
