Species,Dominance,Body_Mass_Ratio,Canine_Ratio,Expected_Estrus_Overlap,Sex_Ratio
Alouatta_palliata,male,1.3364,1.51,0.7,0.25
Alouatta_pigra,male,1.7729,1.37,,
Alouatta_seniculus,male,1.2841,1.5,0.1,0.6
Aotus_trivirgatus,co-dominance,1.1046,1.08,0,1
Ateles_belzebuth,male,1.0561,,,
Ateles_geoffroyi,male,1.0672,1.52,,
Ateles_paniscus,male,1.0794,1.57,9.6,0.31
Brachyteles_arachnoides,male,1.2,1.33,5.7,0.65
Brachyteles_hypoxanthus,co-dominance,1.1309,1.12,,
Cacajao_rubicundus,male,1.1979,,,
Callicebus_moloch,co-dominance,1.0669,1.08,0,1
Callicebus_personatus,co-dominance,0.9203,,,
Callithrix_jacchus,co-dominance,0.9784,0.95,6.3,0.93
Callithrix_pygmaea,female,0.9016,1.03,0,1
Cebus_albifrons,male,1.3886,,,
Cebus_apella,male,1.4484,1.41,1.2,0.87
Cebus_capucinus,male,1.4488,,1.5,1.38
Cebus_olivaceus,male,1.3056,1.57,9.3,0.17
Cercocebus_atys,male,1.7742,2.46,,
Chlorocebus_aethiops,male,1.4295,1.51,92,0.7
Cercopithecus_campbelli,male,1.67,,,
Colobus_guereza,male,1.4674,1.46,0.6,0.33
Erythrocebus_patas,co-dominance,1.9077,2.17,20,0.23
Eulemur_coronatus,female,1.0432,1.11,,
Eulemur_fulvus,co-dominance,0.9689,1.18,8.4,1.36
Eulemur_macaco,female,0.9442,1.02,5.1,0.91
Eulemur_mongoz,female,1.0124,1.2,0,1
Eulemur_rubriventer,female,1.0206,1.05,0,1
Galago_senegalensis,male,1.1407,1.11,,
Gorilla_gorilla,male,2.3832,1.73,0.2,0.41
Hapalemur_griseus,female,1.093,1,0,1
Hylobates_agilis,co-dominance,1.0103,1.08,,
Hylobates_lar,co-dominance,1.1049,1.16,0,1
Hylobates_muelleri,co-dominance,1.0673,,,
Hylobates_pileatus,co-dominance,1.011,0.99,,
Symphalangus_syndactylus,co-dominance,1.1121,1.18,,
Indri_indri,female,0.8523,1,0,1
Lagothrix_lagotricha,male,1.1634,1.77,4.3,0.34
Lemur_catta,female,1,1.19,1.5,1.13
Leontopithecus_rosalia,co-dominance,1.0368,1.18,2.9,1.33
Loris_tardigradus,male,0.9814,0.98,0,0.4
Macaca_assamensis,male,1.6377,,,
Macaca_fascicularis,male,1.493,2.25,54,0.59
Macaca_fuscata,male,1.3699,1.94,97,0.33
Macaca_mulatta,male,1.25,2.15,62,0.28
Macaca_nemestrina,male,1.72,2.35,47,0.14
Macaca_radiata,male,1.7325,,26,0.78
Macaca_sylvanus,male,1.4545,2.02,95,0.82
Macaca_thibetana,male,1.6,,,
Mandrillus_sphinx,male,2.4496,5.18,,
Microcebus_murinus,female,1.0575,0.99,0.2,0.57
Miopithecus_talapoin,female,1.2321,1.9,100,0.48
Nasalis_larvatus,male,2.0774,2.2,,
Otolemur_garnetti,female,1.0817,1.08,0,1
Pan_paniscus,co-dominance,1.3554,1.38,14,1
Pan_troglodytes,male,1.2671,1.43,76,0.29
Papio_anubis,male,1.8872,2.22,31,0.41
Papio_cynocephalus,male,1.7724,2.83,13,0.62
Papio_hamadryas,male,1.7071,2.74,0.1,0.5
Papio_papio,male,1.9167,,,
Papio_ursinus,male,2.0135,3.83,17,0.47
Pongo_pygmaeus,male,2.1927,1.7,79,0.56
Presbytis_thomasi,male,1.012,1.8,,
Piliocolobus_badius,male,1.0183,1.88,14,0.5
Propithecus_diadema,female,0.9489,,,
Propithecus_edwardsi,female,0.9649,0.88,0,1.07
Propithecus_tattersalli,female,0.9443,,,
Propithecus_verreauxi,female,0.9438,1.06,0.3,1
Pygathrix_nemaeus,male,1.3033,2.02,,
Saguinus_fuscicollis,co-dominance,0.9581,1.03,0,1.9
Saimiri_boliviensis,female,1.2813,1.61,,
Saimiri_oerstedii,male,1.3191,1.68,30,0.63
Saimiri_sciureus,male,1.1767,1.41,45,0.3
Semnopithecus_entellus,male,1.3145,1.7,6.4,0.32
Tarsius_tarsier,co-dominance,1.1574,,,
Theropithecus_gelada,male,1.6239,3.22,1.4,0.25
Trachypithecus_johnii,male,1.0714,1.63,,
Trachypithecus_phayrei,male,1.2492,,,
Varecia_variegata,female,0.9886,1.04,0,0.5
